Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.58,ip.dst==129.241.208.60,ip.dst==129.241.205.108,ip.dst==129.241.209.248
257,227346,243458,265796,269656,271402,270381
258,215538,268701,269621,266035,263950,272642
259,187582,262055,269240,265586,265429,258940
260,195375,262388,268822,266088,266713,267380
261,198102,263260,267203,274447,266448,257139
262,218480,268099,264621,264994,266540,273212
263,197715,247028,266905,269035,269157,278882
264,195828,242046,273927,265143,262285,267740
265,195216,253664,267118,271444,268955,257802
266,227401,250248,270411,272768,271552,274405
267,247564,202611,267732,263849,264981,273882
268,205124,222698,271607,264778,268173,254683
269,200258,233418,263576,267450,268060,270306
270,217699,255763,268411,265899,259747,275683
271,188089,234238,268663,266583,268120,254993
272,193199,218829,269387,268182,266197,273918
273,218731,230802,265205,265263,266585,259155
274,208426,228699,268672,268229,266340,265038
275,219309,246094,269310,267762,266452,270138
276,134030,153846,177258,178923,176218,174494
