Interval start,ip.dst==129.241.208.71,ip.dst==129.241.208.59,ip.dst==129.241.208.60
115,272342,223524,254327
116,236527,211401,300285
117,245678,211070,283055
118,184963,203875,265444
119,205702,245060,269014
120,195276,215789,245274
121,205633,195287,270177
122,207836,207924,269099
123,231689,225446,271611
124,269042,245975,235075
125,234951,225117,290459
126,256254,221994,271003
127,199423,296416,254519
128,214279,234971,300124
129,210671,268051,271018
130,189009,236162,279784
131,157521,228674,270511
132,188786,287494,261487
133,196789,275299,278883
134,182810,260563,273033
135,203367,232992,274145
136,212881,260614,260652
137,249088,270959,230575
138,224549,225671,298936
139,230095,293997,225740
140,225063,224713,299713
141,225027,230673,293651
142,224301,292982,231715
143,225540,231991,293122
144,225622,291631,231885
145,215891,233966,300138
146,188647,269833,291113
147,194798,265511,289652
148,201429,289484,258453
149,173755,290742,285927
150,185897,286927,275704
151,183005,226241,271945
152,172575,229280,271290
153,208344,286991,260214
154,226025,254355,270256
155,224289,270709,254359
156,282135,209528,259043
157,201038,236532,312061
158,220844,229491,299790
159,221595,237424,277199
160,203094,245055,260893
161,220940,261851,269759
162,286378,228181,236372
163,232610,256060,261045
164,230629,269185,250376
165,225933,256879,266994
166,247493,224369,277431
167,261794,263940,224350
168,237391,185649,326753
169,251721,225466,273285
170,224609,225453,300227
171,274209,224165,251063
172,226852,249223,273949
173,225144,276213,246830
174,225697,225367,299411
175,224677,224942,299831
176,259405,224146,266161
177,265202,247288,237573
178,247149,202847,298840
179,276017,247326,225994
180,184776,206994,297392
181,161468,180294,273449
182,180331,228875,278281
183,210645,219619,274204
184,197869,224652,270753
185,234636,265497,255966
186,238817,248486,263095
187,205631,278473,264813
188,202764,222364,325853
189,227481,223975,246099
190,244767,220346,279694
191,203597,216694,291701
192,231195,241397,260502
193,222981,243876,257989
194,235385,204110,274217
195,225785,228134,264881
196,268898,224371,252328
197,269477,224431,256268
198,255725,225063,269032
199,224506,281948,243380
200,224941,225184,300110
201,225716,243505,280571
202,228524,226358,276864
203,202572,194314,271703
204,243456,213188,286807
205,225601,257852,266725
206,241029,248642,243968
207,266216,209139,275630
208,242721,233750,273544
209,224496,291581,233731
210,233115,225569,290400
211,225730,224528,300922
212,229622,294529,224944
213,203627,250012,296415
214,217959,242438,276349
215,201131,219436,270955
216,213653,250279,269054
217,253174,242691,253684
218,216946,282416,250518
219,224923,243594,281941
220,189216,284924,275798
221,216117,234106,299907
222,280849,254219,214683
223,219246,223385,307185
224,212653,250345,286836
225,213917,214497,290581
226,237549,225934,266818
227,236915,202164,263712
228,231739,196497,268667
229,231051,212587,275367
230,252945,222947,275237
231,258797,230010,262559
232,240166,227585,282312
233,234561,245734,266986
234,232913,247837,269231
235,210502,252283,270328
236,197026,215925,268082
237,219056,236810,268745
238,209310,246922,292041
239,245540,245555,258478
240,187461,221001,257615
241,202756,234418,287092
242,213519,245426,267508
243,180541,210450,288707
244,208246,248903,255524
245,212512,240431,273636
246,217610,202843,267686
247,207079,251989,254448
248,208859,251114,272058
249,220503,225003,268736
250,216726,273037,259972
251,225394,273698,251478
252,208187,245955,295792
253,217504,270102,262205
254,235539,239541,274778
255,212475,270983,265948
256,188777,254232,304057
257,281242,288122,180026
258,218855,256980,274678
259,199141,225220,325491
260,197198,281022,271804
261,252746,243272,253113
262,225437,225054,299530
263,204276,260453,285678
264,182036,213273,268486
265,194354,239544,270798
266,218036,260705,273680
267,232683,264062,251919
268,216457,228664,284497
269,208151,280694,261703
270,214761,256633,278952
271,226928,259129,263285
272,210740,276411,262583
273,226046,235454,288576
274,212383,272041,252662
275,180791,264773,276888
276,216662,256966,276531
277,230620,265299,253840
278,193678,275639,280435
279,202897,301495,245247
280,183391,260209,300485
281,140888,250906,270484
282,183256,270824,272817
283,218256,280060,252131
284,200953,272021,276945
285,181014,273468,279326
286,169437,246342,270125
287,203715,273871,269462
288,208206,270446,261076
289,217477,261250,270890
290,194277,282845,273067
291,206271,273070,270664
292,207951,236461,277386
293,205612,223509,270105
294,218672,267975,269188
295,219926,259885,270112
296,210957,237636,273425
297,206678,211322,269966
298,221005,232940,269498
299,246542,242089,270539
300,233829,242395,273166
301,226234,254932,269750
302,203811,225378,270832
303,206087,229527,268642
304,214158,283421,259064
305,34381,26868,34065
